Course number,Course title,Units,Type,Section,Session,Time,Days,Seats,Registered,Instructor,Term,Department,Year,Semester,AY,matched_name
PPD-555,Public Policy Formulation and Implementation,4.0,Lecture,51400D,530.0,TBA,,28.0,13.0,Mindy Romero,20231,Public Policy and Management,2023,SP,AY23,Mindy Romero
PPD-558,Multivariate Statistical Analysis,4.0,Lecture,51283D,1.0,6:00-9:20pm,Thursday,34.0,33.0,T.J. Mccarthy,20231,Public Policy and Management,2023,SP,AY23,T.J. McCarthy
PPD-560,Methods for Policy Analysis,4.0,Lecture,51224D,1.0,6:00-9:20pm,Wednesday,30.0,27.0,Mark Phillips,20231,Public Policy and Management,2023,SP,AY23,Mark Phillips
PPD-560,Methods for Policy Analysis,4.0,Lecture,51267D,1.0,2:00-5:20pm,Thursday,28.0,28.0,T.J. Mccarthy,20231,Public Policy and Management,2023,SP,AY23,T.J. McCarthy
PPD-561b,Policy Analysis Practicum,3.0,Lecture,51225D,1.0,10:00-12:20pm,Tuesday,28.0,28.0,Juliet Musso,20231,Public Policy and Management,2023,SP,AY23,Juliet Ann Musso
PPD-561b,Policy Analysis Practicum,3.0,Lecture,51226D,1.0,10:00-12:20pm,Tuesday,25.0,24.0,Grace Bahng,20231,Public Policy and Management,2023,SP,AY23,Grace Bahng
PPD-561b,Policy Analysis Practicum,3.0,Lecture,51227D,1.0,10:00-12:20pm,Tuesday,20.0,19.0,Alexandra Graddy-Reed,20231,Public Policy and Management,2023,SP,AY23,Alexandra Graddy-Reed
PPD-572,Special Issues in International Public Policy,"1.0-4.0 units, max 12",Lecture,51356D,785.0,10:00-11:50am,Thursday,20.0,18.0,Frank Zerunyan,20231,Public Policy and Management,2023,SP,AY23,Frank V. Zerunyan
PPD-599,Advanced Urban Analytics,4.0,Lecture,51289R,1.0,2:00-5:20pm,Wednesday,25.0,12.0,Geoff Boeing,20231,Urban Planning and Spatial Management,2023,SP,AY23,Geoff Boeing
PPD-599,Foundations of Environmental Policy,4.0,Lecture,51293D,1.0,2:00-5:20pm,Monday,32.0,13.0,Antonio Bento,20231,Public Policy and Management,2023,SP,AY23,Antonio M. Bento
PPD-599,Data Visualization for Policy Analysis,4.0,Lecture,51296R,1.0,2:00-5:20pm,Monday,32.0,23.0,Grace Bahng,20231,Public Policy and Management,2023,SP,AY23,Grace Bahng
PPD-599,"Planning for Resilience: Natural Hazards, Climate Risks, and Vulnerability",4.0,Lecture,51297R,1.0,2:00-5:20pm,Tuesday,32.0,21.0,Santina Contreras,20231,Urban Planning and Spatial Management,2023,SP,AY23,Santina Contreras
PPD-599,Price International Lab,4.0,Lecture,51311D,550.0,TBA,,20.0,20.0,Elizabeth Graddy,20231,Public Policy and Management,2023,SP,AY23,Elizabeth Graddy
PPD-647,Finance of the Public Sector,4.0,Lecture,51288R,1.0,6:00-9:20pm,Monday,28.0,23.0,Michael Thom,20231,Public Policy and Management,2023,SP,AY23,Michael Thom
PPD-672,Collaborative Governance,4.0,Lecture,51245R,1.0,6:00-9:20pm,Thursday,32.0,31.0,Frank Zerunyan,20231,Public Policy and Management,2023,SP,AY23,Frank V. Zerunyan
PPD-673,Strategic Planning in the Public Sector,4.0,Lecture,51310R,790.0,TBA,,32.0,30.0,Norris Gunby,20231,Health Policy and Management,2023,SP,AY23,Norris Gunby
PPD-675,Nonprofit Management and Leadership,4.0,Lecture,51271R,1.0,6:00-9:20pm,Monday,26.0,23.0,Nicole Esparza,20231,Public Policy and Management,2023,SP,AY23,Nicole E. Esparza
PPD-677,International Development Administration,4.0,Lecture,51244R,1.0,6:00-9:20pm,Monday,32.0,18.0,Rym Kaki,20231,Public Policy and Management,2023,SP,AY23,Rym Kaki
PPD-697,Cultural Proficiency in Health Management and Policy,2.0,Lecture,51282R,1.0,6:00-7:50pm,Tuesday,24.0,7.0,Lavonna Lewis,20231,Health Policy and Management,2023,SP,AY23,LaVonna B. Lewis
PPD-700,Teaching Seminar,2.0,Lecture,51292D,1.0,12:00-1:50pm,Wednesday,8.0,8.0,Deborah Natoli,20231,Public Policy and Management,2023,SP,AY23,Deborah J. Natoli
PPD-710b,Research Seminar,2.0,Lecture,51284D,1.0,2:00-3:50pm,Wednesday,8.0,8.0,Dowell Myers,20231,Urban Planning and Spatial Management,2023,SP,AY23,Dowell Myers
PPD-794a,Doctoral Dissertation,2.0,Lecture,51254D,1.0,TBA,,10.0,2.0,Juliet Musso,20231,Public Policy and Management,2023,SP,AY23,Juliet Ann Musso
PPD-794b,Doctoral Dissertation,2.0,Lecture,51255D,1.0,TBA,,12.0,11.0,Juliet Musso,20231,Public Policy and Management,2023,SP,AY23,Juliet Ann Musso
PPD-794d,Doctoral Dissertation,2.0,Lecture,51257D,1.0,TBA,,11.0,11.0,Juliet Musso,20231,Public Policy and Management,2023,SP,AY23,Juliet Ann Musso
PPD-794z,Doctoral Dissertation,0.0,Lecture,51258D,1.0,TBA,,20.0,15.0,Juliet Musso,20231,Public Policy and Management,2023,SP,AY23,Juliet Ann Musso
PPDE-505,Professional Workshop in Public Administration,2.0,Lecture,50908D,1.0,6:00-7:50pm,Wednesday,25.0,25.0,Kelly Rawlings,20231,Public Policy and Management,2023,SP,AY23,Kelly Rawlings
PPDE-505,Professional Workshop in Public Administration,2.0,Lecture,50991D,530.0,TBA,,28.0,14.0,Tara Blanc,20231,Public Policy and Management,2023,SP,AY23,Tara Blanc
PPDE-505,Professional Workshop in Public Administration,2.0,Lecture,51054D,790.0,TBA,,25.0,4.0,Eric Alegria,20231,ROTC,2023,SP,AY23,LTC Marvin Eric Polk III
PPDE-506,Professional Residency in Public Administration,1.0,Lecture,51072D,596.0,TBA,,25.0,17.0,Dora Kingsley Vertenten,20231,Public Policy and Management,2023,SP,AY23,Dora Kingsley Vertenten
PPDE-580,Social Innovation,4.0,Lecture,50900R,1.0,6:00-9:20pm,Tuesday,32.0,22.0,Christine Beckman,20231,Public Policy and Management,2023,SP,AY23,Christine M. Beckman
PPDE-613,Analytics and Operations for Healthcare Management,2.0,Lecture,51057D,790.0,TBA,,65.0,58.0,Dan Mirakhor Antoinne Harris David Wolvek,20231,Health Policy and Management,2023,SP,AY23,Michael E. Harris
PPDE-634,"Methodology, Methods and Tools for Urban Sustainability",2.0-4.0 units,Lecture,50901R,1.0,6:00-9:20pm,Monday,40.0,37.0,Lauren Faber O'Connor Elizabeth Crosson,20231,Urban Planning and Spatial Management,2023,SP,AY23,Elizabeth Currid-Halkett
PPDE-635,Housing and Land Use in Rapidly Urbanizing Regions,4.0,Lecture,50903R,1.0,8:30-11:50am,Wednesday,50.0,24.0,Annette Kim,20231,Urban Planning and Spatial Management,2023,SP,AY23,Annette M. Kim
PPDE-641,Art and the City,4.0,Lecture,50916R,1.0,8:30-11:50am,Monday,30.0,14.0,Elizabeth Currid-Halkett,20231,Urban Planning and Spatial Management,2023,SP,AY23,Elizabeth Currid-Halkett
PPDE-644,Land Use and Transportation Planning,4.0,Lecture,50904R,1.0,2:00-5:20pm,Monday,30.0,21.0,Genevieve Giuliano,20231,Urban Planning and Spatial Management,2023,SP,AY23,Genevieve Giuliano
PPDE-646,Grant Writing Practicum,2.0,Lecture,51051R,790.0,10:00-11:50am,Thursday,26.0,23.0,Rachel Reed,20231,Public Policy and Management,2023,SP,AY23,Alexandra Graddy-Reed
PPDE-668,Applied Econometrics for Program Evaluation,4.0,Lecture,50910D,1.0,2:00-5:20pm,Wednesday,32.0,16.0,T.J. Mccarthy,20231,Public Policy and Management,2023,SP,AY23,T.J. McCarthy
PLUS-653,Leading Change and Innovation in Urban Communities,4.0,Lecture,51557D,1.0,TBA,,18.0,9.0,Peter Robertson,20231,Public Policy and Management,2023,SP,AY23,Peter J. Robertson
PLUS-669,Designing Livable Environments II,1.0,Lecture,51582D,545.0,TBA,,25.0,12.0,Elizabeth Falletta,20231,Urban Planning and Spatial Management,2023,SP,AY23,Liz Falletta
PLUS-671,Leading a Collaborative City,3.0,Lecture,51540D,919.0,5:30-7:00pm,Monday,25.0,7.0,Michael Woo,20231,Health Policy and Management,2023,SP,AY23,Michael E. Harris
PLUS-694b,"Planning, Design and Development Professional Dissertation",2.0,Lecture,51551D,1.0,TBA,,18.0,4.0,Juliet Musso,20231,Public Policy and Management,2023,SP,AY23,Juliet Ann Musso
PLUS-694d,"Planning, Design and Development Professional Dissertation",2.0,Lecture,51553D,1.0,TBA,,18.0,4.0,Juliet Musso,20231,Public Policy and Management,2023,SP,AY23,Juliet Ann Musso
PLUS-694z,"Planning, Design and Development Professional Dissertation",0.0,Lecture,51554D,1.0,TBA,,18.0,4.0,Juliet Musso,20231,Public Policy and Management,2023,SP,AY23,Juliet Ann Musso
RED-200,Introduction to Real Estate,4.0,Lecture,51650R,1.0,8:30-11:50am,Friday,40.0,31.0,Mark Zikakis,20231,ROTC,2023,SP,AY23,Lt. Col Mark R. Burley
RED-200,Introduction to Real Estate,4.0,Lecture,51651R,1.0,10:00-11:50am,"Mon, Wed",85.0,80.0,John Loper,20231,Real Estate Development,2023,SP,AY23,John Loper
RED-325,Introduction to Finance in Cities,4.0,Lecture,51655R,1.0,2:00-3:50pm,"Mon, Wed",60.0,60.0,John Loper,20231,Real Estate Development,2023,SP,AY23,John Loper
RED-362,Real Estate Development Fundamentals,4.0,Lecture,51657R,1.0,8:00-9:50am,"Tue, Thu",90.0,87.0,Mary Lynne Boorn,20231,Real Estate Development,2023,SP,AY23,Mary Lynne Boorn
RED-375,Real Estate Development Analysis,4.0,Lecture,51659R,1.0,9:00-12:20pm,Friday,25.0,25.0,John Loper,20231,Real Estate Development,2023,SP,AY23,John Loper
RED-375,Real Estate Development Analysis,4.0,Lecture,51660R,1.0,10:00-11:50am,"Mon, Wed",25.0,19.0,Moussa Diop,20231,Real Estate Development,2023,SP,AY23,Moussa Diop
RED-425,Designing Livable Communities,4.0,Lecture,51665R,1.0,12:00-1:50pm,"Mon, Wed",28.0,28.0,Elizabeth Falletta,20231,Urban Planning and Spatial Management,2023,SP,AY23,Liz Falletta
RED-435,Analyzing Real Estate Markets,4.0,Lecture,51667R,1.0,6:00-9:20pm,Monday,32.0,32.0,William Fishel Matthew Stewart,20231,Public Policy and Management,2023,SP,AY23,William Leach
RED-435,Analyzing Real Estate Markets,4.0,Lecture,51668R,1.0,12:00-1:50pm,"Tue, Thu",33.0,33.0,Mary Lynne Boorn,20231,Real Estate Development,2023,SP,AY23,Mary Lynne Boorn
RED-437,Advanced Finance and Investment for Real Estate Development,4.0,Lecture,51670R,1.0,8:00-9:50am,"Tue, Thu",25.0,20.0,Spencer Couts,20231,Real Estate Development,2023,SP,AY23,Spencer Couts
RED-469,Mixed Use Development Process,4.0,Lecture,51689D,532.0,9:00-11:50am,Friday,11.0,11.0,Richard Green,20231,Real Estate Development,2023,SP,AY23,Richard K. Green
RED-546,Applications of Real Estate Finance to Problems of Development,3.0,Lecture,51604D,38.0,6:00-8:50pm,Tuesday,20.0,13.0,Christian Redfearn,20231,Real Estate Development,2023,SP,AY23,Christian L. Redfearn
RED-546,Applications of Real Estate Finance to Problems of Development,3.0,Lecture,51620D,38.0,2:00-4:50pm,Wednesday,25.0,14.0,Christian Redfearn,20231,Real Estate Development,2023,SP,AY23,Christian L. Redfearn
RED-585,Comparative International Development Workshop,2.0-4.0 units,Lecture,51649D,548.0,TBA,,15.0,13.0,Richard Green,20231,Real Estate Development,2023,SP,AY23,Richard K. Green
RED-590,Directed Research,1.0-12.0 units,Lecture,51630D,38.0,TBA,,10.0,2.0,Mary Lynne Boorn,20231,Real Estate Development,2023,SP,AY23,Mary Lynne Boorn
HMGT-520,Leading People and Health Care Organizations,4.0,Lecture,51710D,820.0,TBA,,15.0,7.0,Lisa Ozaeta,20231,Health Policy and Management,2023,SP,AY23,Lisa Ozaeta
HMGT-540,"Health Economics, Financing and Reimbursement",4.0,Lecture,51711D,820.0,TBA,,20.0,17.0,Paul Ginsburg,20231,Health Policy and Management,2023,SP,AY23,Paul B. Ginsburg
HMGT-540,"Health Economics, Financing and Reimbursement",4.0,Lecture,51712D,820.0,TBA,,20.0,20.0,Paul Ginsburg,20231,Health Policy and Management,2023,SP,AY23,Paul B. Ginsburg
HMGT-565,Managing the Organization's Financial Health,4.0,Lecture,51713D,820.0,TBA,,15.0,9.0,Lisa Ozaeta,20231,Health Policy and Management,2023,SP,AY23,Lisa Ozaeta
HMGT-575,Managing and Improving Health,4.0,Lecture,51714D,820.0,TBA,,30.0,26.0,Michael Harris,20231,Health Policy and Management,2023,SP,AY23,Michael E. Harris
HMGT-600,Managing Risk,2.0,Lecture,51715D,820.0,TBA,,10.0,8.0,Michael Harris,20231,Health Policy and Management,2023,SP,AY23,Michael E. Harris
PPD-203,Economic Analysis for Public Policy,4.0,Lecture,51112R,1.0,12:00-1:50pm,"Mon, Wed",32.0,19.0,Mark Phillips,20223,Public Policy and Management,2022,F,AY23,Mark Phillips
PPD-225,Public Policy and Management,4.0,Lecture,51101R,1.0,12:00-1:50pm,"Tue, Thu",70.0,56.0,Michael Thom,20223,Public Policy and Management,2022,F,AY23,Michael Thom
PPD-240g,Citizenship and Public Ethics,4.0,Lecture,51140D,1.0,12:00-1:50pm,"Mon, Wed",41.0,41.0,Grace Bahng,20223,Public Policy and Management,2022,F,AY23,Grace Bahng
PPD-245g,The Urban Context,4.0,Lecture,51105D,1.0,2:00-3:50pm,"Mon, Wed",65.0,66.0,Marlon Boarnet,20223,Urban Planning and Spatial Management,2022,F,AY23,Marlon Boarnet
PPD-300,Social Justice Issues in Public Policy and Urban Planning,4.0,Lecture,51119R,1.0,12:00-1:50pm,"Tue, Thu",32.0,31.0,Lavonna Lewis,20223,Health Policy and Management,2022,F,AY23,LaVonna B. Lewis
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,51102R,1.0,2:00-3:50pm,"Tue, Thu",31.0,31.0,Norris Gunby,20223,Health Policy and Management,2022,F,AY23,Norris Gunby
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,51104R,1.0,10:00-11:50am,"Mon, Wed",30.0,29.0,John Romley,20223,Health Policy and Management,2022,F,AY23,John A. Romley
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,51107R,1.0,2:00-3:50pm,"Mon, Wed",30.0,30.0,John Romley,20223,Health Policy and Management,2022,F,AY23,John A. Romley
PPD-313,Finance of the Public Sector,4.0,Lecture,51113R,1.0,12:00-1:50pm,"Tue, Thu",32.0,29.0,Mark Phillips,20223,Public Policy and Management,2022,F,AY23,Mark Phillips
PPD-315,Analytic Foundations for Public Policy,4.0,Lecture,51106R,1.0,10:00-11:50am,"Tue, Thu",40.0,39.0,Pamela Mccann,20223,Public Policy and Management,2022,F,AY23,Pamela McCann
PPD-325,Fundamentals of Health Policy and Management,4.0,Lecture,51108R,1.0,12:00-1:50pm,"Mon, Wed",32.0,17.0,Alice Chen,20223,Health Policy and Management,2022,F,AY23,Alice Chen
PPD-353,Philanthropy and Social Change,4.0,Lecture,51152R,1.0,2:00-3:50pm,"Tue, Thu",32.0,21.0,Nicole Esparza,20223,Public Policy and Management,2022,F,AY23,Nicole E. Esparza
PPD-357,Government and Business,4.0,Lecture,51139R,1.0,10:00-11:50am,"Tue, Thu",31.0,31.0,Michael Thom,20223,Public Policy and Management,2022,F,AY23,Michael Thom
PPD-413,Administration of Health Care Organizations,4.0,Lecture,51147R,1.0,10:00-11:50am,"Mon, Wed",32.0,12.0,Philip Dalton,20223,Health Policy and Management,2022,F,AY23,Phil Dalton
PPD-503,Economics for Public Policy,4.0,Lecture,51216D,1.0,2:00-5:20pm,Tuesday,58.0,62.0,T.J. Mccarthy,20223,Public Policy and Management,2022,F,AY23,T.J. McCarthy
PPD-503,Economics for Public Policy,4.0,Lecture,51217D,1.0,6:00-9:20pm,Tuesday,72.0,56.0,T.J. Mccarthy,20223,Public Policy and Management,2022,F,AY23,T.J. McCarthy
PPD-506,Introduction to Microeconomics: Applications in Health,2.0,Lecture,51515D,1.0,12:00-1:50pm,Monday,28.0,18.0,Neeraj Sood,20223,Health Policy and Management,2022,F,AY23,Neeraj Sood
PPD-506,Introduction to Microeconomics: Applications in Health,2.0,Lecture,51516D,1.0,4:00-5:50pm,Monday,45.0,39.0,Neeraj Sood,20223,Health Policy and Management,2022,F,AY23,Neeraj Sood
PPD-509,Problems and Issues in the Health Field,4.0,Lecture,51206D,1.0,6:00-9:20pm,Wednesday,24.0,19.0,Howard Greenwald,20223,Health Policy and Management,2022,F,AY23,Howard Greenwald
PPD-509,Problems and Issues in the Health Field,4.0,Lecture,51275D,1.0,2:00-5:20pm,Tuesday,26.0,25.0,Philip Dalton,20223,Health Policy and Management,2022,F,AY23,Phil Dalton
PPD-509,Problems and Issues in the Health Field,4.0,Lecture,51309D,791.0,TBA,,22.0,15.0,Lavonna Lewis,20223,Health Policy and Management,2022,F,AY23,LaVonna B. Lewis
PPD-516,Financial Accounting for Health Care Organizations,4.0,Lecture,51272D,1.0,6:00-9:20pm,Tuesday,23.0,23.0,Norris Gunby,20223,Health Policy and Management,2022,F,AY23,Norris Gunby
PPD-516,Financial Accounting for Health Care Organizations,4.0,Lecture,51278D,1.0,6:00-9:20pm,Thursday,20.0,13.0,Norris Gunby,20223,Health Policy and Management,2022,F,AY23,Norris Gunby
PPD-518,Quality of Care Concepts,2.0,Lecture,51778D,820.0,TBA,,26.0,11.0,Michael Harris,20223,Health Policy and Management,2022,F,AY23,Michael E. Harris
PPD-522,Planning Theory and History for a Just Society,4.0,Lecture,51200R,1.0,2:00-5:20pm,Wednesday,90.0,73.0,David Sloane,20223,Urban Planning and Spatial Management,2022,F,AY23,David Sloane
PPD-531L,Planning Studio,"4.0-12.0 units, max 12",Lecture-Lab,51213D,1.0,6:00-9:20pm,Tuesday,26.0,26.0,Eric Shen,20223,ROTC,2022,F,AY23,LTC Marvin Eric Polk III
PPD-540,Fundamentals of Public Administration,4.0,Lecture,51219R,1.0,6:00-9:20pm,Monday,31.0,30.0,Danyao Li,20223,Public Policy and Management,2022,F,AY23,Danyao Li
PPD-540,Fundamentals of Public Administration,4.0,Lecture,51245R,1.0,2:00-5:20pm,Tuesday,30.0,31.0,Danyao Li,20223,Public Policy and Management,2022,F,AY23,Danyao Li
PPD-540,Fundamentals of Public Administration,4.0,Lecture,51252R,1.0,6:00-9:20pm,Tuesday,32.0,29.0,William Resh,20223,Public Policy and Management,2022,F,AY23,William G. Resh
PPD-540,Fundamentals of Public Administration,4.0,Lecture,51400D,530.0,TBA,,28.0,14.0,William Resh,20223,Public Policy and Management,2022,F,AY23,William G. Resh
PPD-540,Fundamentals of Public Administration,4.0,Lecture,51471D,593.0,TBA,,30.0,22.0,Tara Blanc,20223,Public Policy and Management,2022,F,AY23,Tara Blanc
PPD-542,Policy and Program Evaluation,4.0,Lecture,51222R,1.0,6:00-9:20pm,Tuesday,24.0,24.0,Howard Greenwald,20223,Health Policy and Management,2022,F,AY23,Howard Greenwald
PPD-542,Policy and Program Evaluation,4.0,Lecture,51237R,1.0,6:00-9:20pm,Monday,23.0,23.0,Nicole Esparza,20223,Public Policy and Management,2022,F,AY23,Nicole E. Esparza
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51226R,1.0,2:00-5:20pm,Wednesday,32.0,32.0,Deborah Natoli,20223,Public Policy and Management,2022,F,AY23,Deborah J. Natoli
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51240R,1.0,2:00-5:20pm,Thursday,32.0,32.0,Howard Greenwald,20223,Health Policy and Management,2022,F,AY23,Howard Greenwald
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51249R,1.0,6:00-9:20pm,Tuesday,32.0,28.0,Deborah Natoli,20223,Public Policy and Management,2022,F,AY23,Deborah J. Natoli
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51267R,1.0,6:00-9:20pm,Monday,32.0,29.0,Peter Robertson,20223,Public Policy and Management,2022,F,AY23,Peter J. Robertson
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51473D,593.0,TBA,,20.0,11.0,Kelly Rawlings,20223,Public Policy and Management,2022,F,AY23,Kelly Rawlings
PPD-546,Capstone in Public Administration,4.0,Lecture,51463D,593.0,TBA,,30.0,15.0,Dora Kingsley Vertenten,20223,Public Policy and Management,2022,F,AY23,Dora Kingsley Vertenten
PPD-546,Capstone in Public Administration,4.0,Lecture,51464D,593.0,TBA,,20.0,13.0,Dora Kingsley Vertenten,20223,Public Policy and Management,2022,F,AY23,Dora Kingsley Vertenten
PPD-554,Foundations of Policy Analysis,4.0,Lecture,51274D,1.0,10:00-11:50am,"Mon, Wed",30.0,29.0,Grace Bahng,20223,Public Policy and Management,2022,F,AY23,Grace Bahng
PPD-558,Multivariate Statistical Analysis,4.0,Lecture,51221D,1.0,2:00-5:20pm,Tuesday,34.0,32.0,Emma Aguila Vega,20223,Health Policy and Management,2022,F,AY23,Emma Aguila
PPD-558,Multivariate Statistical Analysis,4.0,Lecture,51224D,1.0,2:00-5:20pm,Wednesday,33.0,31.0,Julie Zissimopoulos,20223,Health Policy and Management,2022,F,AY23,Julie M. Zissimopoulos
PPD-558,Multivariate Statistical Analysis,4.0,Lecture,51273D,1.0,10:00-11:50am,"Tue, Thu",34.0,32.0,Emma Aguila Vega,20223,Health Policy and Management,2022,F,AY23,Emma Aguila
PPD-561a,Policy Analysis Practicum,1.0,Lecture,51268D,1.0,10:00-11:50am,Tuesday,29.0,28.0,Juliet Musso,20223,Public Policy and Management,2022,F,AY23,Juliet Ann Musso
PPD-561a,Policy Analysis Practicum,1.0,Lecture,51269D,1.0,10:00-11:50am,Tuesday,25.0,25.0,Grace Bahng,20223,Public Policy and Management,2022,F,AY23,Grace Bahng
PPD-561a,Policy Analysis Practicum,1.0,Lecture,51270D,1.0,10:00-11:50am,Tuesday,20.0,20.0,Alexandra Graddy-Reed,20223,Public Policy and Management,2022,F,AY23,Alexandra Graddy-Reed
PPD-571,International Public Policy and Management Seminar,4.0,Lecture,51356D,785.0,8:30-11:50am,Wednesday,40.0,39.0,Rym Kaki,20223,Public Policy and Management,2022,F,AY23,Rym Kaki
PPD-587,Risk Analysis,4.0,Lecture,51514R,1.0,2:00-5:20pm,Monday,32.0,16.0,Detlof Von Winterfeldt,20223,Public Policy and Management,2022,F,AY23,Detlof von Winterfeldt
PPD-590,Directed Research,1.0-12.0 units,Lecture,51480D,593.0,TBA,,3.0,1.0,Dora Kingsley Vertenten,20223,Public Policy and Management,2022,F,AY23,Dora Kingsley Vertenten
PPD-599,Python for Public Policy and Management,4.0,Lecture,51279R,1.0,6:00-9:20pm,Thursday,32.0,29.0,Nicolas Duquette,20223,Public Policy and Management,2022,F,AY23,Nicolas Duquette
PPD-599,Behavioral Insights for Health Policy,4.0,Lecture,51310D,791.0,TBA,,90.0,57.0,Jason Doctor,20223,Health Policy and Management,2022,F,AY23,Jason Doctor
PPD-621,Environmental Impacts,4.0,Lecture,51280R,1.0,2:00-5:20pm,Thursday,25.0,23.0,Geraldine Knatz,20223,Urban Planning and Spatial Management,2022,F,AY23,Geraldine Knatz
PPD-623,Community Development and Site Planning,4.0,Lecture,51512R,1.0,2:00-5:20pm,Wednesday,32.0,8.0,Elizabeth Falletta,20223,Urban Planning and Spatial Management,2022,F,AY23,Liz Falletta
PPD-628,Urban Planning and Social Policy,4.0,Lecture,51462D,593.0,TBA,,20.0,20.0,William Leach,20223,Public Policy and Management,2022,F,AY23,William Leach
PPD-628,Urban Planning and Social Policy,4.0,Lecture,51476D,593.0,TBA,,20.0,20.0,William Leach,20223,Public Policy and Management,2022,F,AY23,William Leach
PPD-634,Institutional and Policy Issues in Transportation,4.0,Lecture,51239R,1.0,2:00-5:20pm,Monday,32.0,31.0,Genevieve Giuliano,20223,Urban Planning and Spatial Management,2022,F,AY23,Genevieve Giuliano
PPD-639,Introduction to Community and Economic Development,4.0,Lecture,51234R,1.0,8:30-11:50am,Wednesday,32.0,12.0,Elizabeth Halkett,20223,Urban Planning and Spatial Management,2022,F,AY23,Elizabeth Currid-Halkett
PPD-647,Finance of the Public Sector,4.0,Lecture,51287R,1.0,6:00-9:20pm,Wednesday,24.0,24.0,Michael Thom,20223,Public Policy and Management,2022,F,AY23,Michael Thom
PPD-672,Collaborative Governance,4.0,Lecture,51297R,1.0,6:00-9:20pm,Thursday,24.0,22.0,Frank Zerunyan,20223,Public Policy and Management,2022,F,AY23,Frank V. Zerunyan
PPD-672,Collaborative Governance,4.0,Lecture,51468D,593.0,TBA,,18.0,18.0,William Leach,20223,Public Policy and Management,2022,F,AY23,William Leach
PPD-672,Collaborative Governance,4.0,Lecture,51477D,593.0,TBA,,18.0,12.0,William Leach,20223,Public Policy and Management,2022,F,AY23,William Leach
PPD-673,Strategic Planning in the Public Sector,4.0,Lecture,51470D,593.0,TBA,,20.0,17.0,Tara Blanc,20223,Public Policy and Management,2022,F,AY23,Tara Blanc
PPD-675,Nonprofit Management and Leadership,4.0,Lecture,51256R,1.0,2:00-5:20pm,Tuesday,26.0,24.0,Nicolas Duquette,20223,Public Policy and Management,2022,F,AY23,Nicolas Duquette
PPD-680,Development of Effective Groups and Organizations,4.0,Lecture,51355D,785.0,2:00-5:20pm,Friday,25.0,19.0,Grace Cheng Susan Sinclair,20223,Public Policy and Management,2022,F,AY23,Grace Bahng
PPD-689,The Nonprofit Sector and Philanthropy,4.0,Lecture,51465D,593.0,TBA,,20.0,16.0,Kelly Rawlings,20223,Public Policy and Management,2022,F,AY23,Kelly Rawlings
PPD-689,The Nonprofit Sector and Philanthropy,4.0,Lecture,51507R,1.0,2:00-5:20pm,Wednesday,26.0,22.0,Alexandra Graddy-Reed,20223,Public Policy and Management,2022,F,AY23,Alexandra Graddy-Reed
PPD-706,Research Design,4.0,Lecture,51284D,1.0,2:00-5:20pm,Monday,10.0,6.0,Jeffery Jenkins,20223,Public Policy and Management,2022,F,AY23,Jeffery A. Jenkins
PPD-710a,Research Seminar,2.0,Lecture,51210D,1.0,6:30-8:20pm,Tuesday,8.0,8.0,Dowell Myers,20223,Urban Planning and Spatial Management,2022,F,AY23,Dowell Myers
PPD-712,Seminar in Public Policy,4.0,Lecture,51211D,1.0,2:00-5:20pm,Tuesday,10.0,8.0,Pamela Mccann,20223,Public Policy and Management,2022,F,AY23,Pamela McCann
PPD-713,Advanced Planning Theory,4.0,Lecture,51223D,1.0,2:00-5:20pm,Tuesday,10.0,6.0,Lisa Schweitzer,20223,Urban Planning and Spatial Management,2022,F,AY23,Lisa Schweitzer
PPD-716,"Econometrics for Policy, Planning and Management I",4.0,Lecture,51293D,1.0,2:00-5:20pm,Thursday,15.0,12.0,Nicolas Duquette,20223,Public Policy and Management,2022,F,AY23,Nicolas Duquette
PPD-794a,Doctoral Dissertation,2.0,Lecture,51257D,1.0,TBA,,14.0,11.0,Juliet Musso,20223,Public Policy and Management,2022,F,AY23,Juliet Ann Musso
PPD-794c,Doctoral Dissertation,2.0,Lecture,51259D,1.0,TBA,,14.0,11.0,Juliet Musso,20223,Public Policy and Management,2022,F,AY23,Juliet Ann Musso
PPD-794d,Doctoral Dissertation,2.0,Lecture,51260D,1.0,TBA,,10.0,1.0,Juliet Musso,20223,Public Policy and Management,2022,F,AY23,Juliet Ann Musso
PPD-794z,Doctoral Dissertation,0.0,Lecture,51261D,1.0,TBA,,16.0,15.0,Juliet Musso,20223,Public Policy and Management,2022,F,AY23,Juliet Ann Musso
PPDE-506,Professional Residency in Public Administration,1.0,Lecture,51072D,596.0,-,,30.0,20.0,Dora Kingsley Vertenten,20223,Public Policy and Management,2022,F,AY23,Dora Kingsley Vertenten
