Course number,Course title,Units,Type,Registered,Instructor,term,class_abbr
PPD-672,Collaborative Governance,4.0,Lecture,26.0,Jei Africa,20223,PPD
PPD-672,Collaborative Governance,4.0,Lecture,18.0,William Leach,20223,PPD
PPD-672,Collaborative Governance,4.0,Lecture,12.0,William Leach,20223,PPD
PPD-673,Strategic Planning in the Public Sector,4.0,Lecture,17.0,Tara Blanc,20223,PPD
PPD-675,Nonprofit Management and Leadership,4.0,Lecture,24.0,Nicolas Duquette,20223,PPD
PPD-680,Development of Effective Groups and Organizations,4.0,Lecture,19.0,Grace Cheng Susan Sinclair,20223,PPD
PPD-689,The Nonprofit Sector and Philanthropy,4.0,Lecture,16.0,Kelly Rawlings,20223,PPD
PPD-689,The Nonprofit Sector and Philanthropy,4.0,Lecture,22.0,Alexandra Graddy-Reed,20223,PPD
PPD-693,Communicating Public Policy,4.0,Lecture,26.0,Lilian Coral,20223,PPD
PPD-696,Health Care Venture Development,2.0,Lecture,12.0,Susan Sinclair,20223,PPD
PPD-706,Research Design,4.0,Lecture,6.0,Jeffery Jenkins,20223,PPD
PPD-710a,Research Seminar,2.0,Lecture,8.0,Dowell Myers,20223,PPD
PPD-712,Seminar in Public Policy,4.0,Lecture,8.0,Pamela Mccann,20223,PPD
PPD-713,Advanced Planning Theory,4.0,Lecture,6.0,Lisa Schweitzer,20223,PPD
PPD-716,"Econometrics for Policy, Planning and Management I",4.0,Lecture,12.0,Nicolas Duquette,20223,PPD
PPD-790,Research,"1.0-12.0 units, max 18",Lecture,10.0,Samantha Malisos,20223,PPD
PPD-794a,Doctoral Dissertation,2.0,Lecture,11.0,Juliet Musso,20223,PPD
PPD-794c,Doctoral Dissertation,2.0,Lecture,11.0,Juliet Musso,20223,PPD
PPD-794d,Doctoral Dissertation,2.0,Lecture,1.0,Juliet Musso,20223,PPD
PPDE-505,Professional Workshop in Public Administration,2.0,Lecture,22.0,Laura Wittcoff,20223,PPDE
PPDE-506,Professional Residency in Public Administration,1.0,Lecture,20.0,Dora Kingsley Vertenten,20223,PPDE
PPDE-612,Consulting in Healthcare Organizations,2.0,Lecture,10.0,Philip Dalton,20223,PPDE
PPDE-628,Introduction to Lean Health Care,2.0,Lecture,18.0,Trent Lim,20223,PPDE
PPDE-630,Community Health Planning,4.0,Lecture,18.0,David Sloane,20223,PPDE
PPDE-636,Urban Spatial Ethnography and Critical Cartography,4.0,Lecture,20.0,Annette Kim,20223,PPDE
PPDE-639,Housing Dynamics for Policy and Planning,4.0,Lecture,17.0,Dowell Myers,20223,PPDE
PPDE-640,"Climate, Sustainability and Environmental Planning",4.0,Lecture,36.0,Santina Contreras,20223,PPDE
PPDE-645,Financial Management of Nonprofit Organizations,4.0,Lecture,23.0,James Siegrist,20223,PPDE
PPDE-660,Environmental Policy Design and Analysis,4.0,Lecture,19.0,Adam Rose,20223,PPDE
PPDE-668,Applied Econometrics for Program Evaluation,4.0,Lecture,29.0,T.J. Mccarthy,20223,PPDE
PPDE-669,U.S. Education Policy,4.0,Lecture,9.0,Julie Marsh,20223,PPDE
PPDE-687,Urban Economics,4.0,Lecture,6.0,Paulina Oliva,20223,PPDE
PLUS-650,Public Policy and Globalization,4.0,Lecture,10.0,Eric Heikkila,20223,PLUS
PLUS-660,Economics of a Productive Development - A Public/Private Perspective,3.0,Lecture,11.0,Sherry Okun-Rudnak,20223,PLUS
PLUS-661,Politics and Process of Urban Development,2.0,Lecture,11.0,Clifford Graves,20223,PLUS
PLUS-662,Planning and Development Case Study,1.0,Lecture,10.0,Sherry Okun-Rudnak,20223,PLUS
PLUS-663,Designing Livable Environments I,1.0,Lecture,10.0,Elizabeth Falletta,20223,PLUS
PLUS-667,Effective Engagement with Stakeholders,3.0,Lecture,7.0,Katherine Cole,20223,PLUS
PLUS-668,Big Data for Planning and Development,2.0,Lecture,7.0,Kevin Kane,20223,PLUS
PLUS-669,Designing Livable Environments II,1.0,Lecture,8.0,Meaghan Pohl,20223,PLUS
PLUS-670,Communicating Data for Planning and Development,1.0,Lecture,8.0,Andrzej Rutkowski,20223,PLUS
PLUS-671,Leading a Collaborative City,3.0,Lecture,11.0,Frank Zerunyan,20223,PLUS
PLUS-672,Integrating Concepts for Action,2.0,Lecture,10.0,Jason Neville,20223,PLUS
PLUS-694a,"Planning, Design and Development Professional Dissertation",2.0,Lecture,4.0,Juliet Musso,20223,PLUS
PLUS-694c,"Planning, Design and Development Professional Dissertation",2.0,Lecture,5.0,Juliet Musso,20223,PLUS
RED-200,Introduction to Real Estate,4.0,Lecture,64.0,Christian Redfearn,20223,RED
RED-200,Introduction to Real Estate,4.0,Lecture,99.0,John Loper,20223,RED
RED-200,Introduction to Real Estate,4.0,Lecture,30.0,John Drachman,20223,RED
RED-201,Real Estate Career Seminar,2.0,Lecture,31.0,Sonia Savoulian,20223,RED
RED-325,Introduction to Finance in Cities,4.0,Lecture,23.0,John Loper,20223,RED
RED-362,Real Estate Development Fundamentals,4.0,Lecture,64.0,Mary Lynne Boorn,20223,RED
RED-375,Real Estate Development Analysis,4.0,Lecture,27.0,Moussa Diop,20223,RED
RED-375,Real Estate Development Analysis,4.0,Lecture,25.0,John Loper,20223,RED
RED-375,Real Estate Development Analysis,4.0,Lecture,21.0,Moussa Diop,20223,RED
RED-398,Shaping Cities Through Real Estate,"2.0-4.0 units, max 8",,,,20223,RED
RED-398,Residential Properties,4.0,Lecture,35.0,Aleks Baharlo,20223,RED
RED-398,Retail Properties,4.0,Lecture,33.0,Bret Nielsen,20223,RED
RED-417,History of Planning and Development,4.0,Lecture,38.0,Cara Mullio,20223,RED
RED-425,Designing Livable Communities,4.0,Lecture,24.0,Elizabeth Falletta,20223,RED
RED-425,Designing Livable Communities,4.0,Lecture,25.0,Naomi Neville,20223,RED
RED-425,Designing Livable Communities,4.0,Lecture,22.0,Catherine Saez,20223,RED
RED-435,Analyzing Real Estate Markets,4.0,Lecture,23.0,Mark Zikakis,20223,RED
RED-435,Analyzing Real Estate Markets,4.0,Lecture,27.0,Mary Lynne Boorn,20223,RED
RED-437,Advanced Finance and Investment for Real Estate Development,4.0,Lecture,19.0,Christian Redfearn,20223,RED
RED-437,Advanced Finance and Investment for Real Estate Development,4.0,Lecture,15.0,Spencer Couts,20223,RED
RED-509,Market Analysis for Real Estate,4.0,Lecture,29.0,Mary Lynne Boorn,20223,RED
RED-510,Real Estate Practice and Principles,4.0,Lecture,25.0,Joel Bryant,20223,RED
RED-511,Foundations of Real Estate Analysis,4.0,Lecture,18.0,Ben Feingold,20223,RED
RED-542,Finance of Real Estate Development,3.0,Lecture,18.0,Spencer Couts,20223,RED
RED-542,Finance of Real Estate Development,3.0,Lab,18.0,Iain Gulin,20223,RED
RED-544,Real Estate Capital Markets,2.0,Lecture,24.0,Shlomi Ronen,20223,RED
RED-562,Legal Issues in Real Estate Development,4.0,Lecture,10.0,Keith Allen-Niesen,20223,RED
RED-563,Introduction to the Asset Management of Real Estate,2.0,Lecture,15.0,Stanley Iezman,20223,RED
RED-574,Building Typologies,2.0,Lecture,16.0,Mary Lynne Boorn,20223,RED
RED-574,Building Typologies,2.0,Lecture,12.0,Mary Lynne Boorn,20223,RED
RED-590,Directed Research,1.0-12.0 units,Lecture,2.0,Samantha Malisos,20223,RED
RED-598,Real Estate Product Development,"2.0-4.0 units, max 12",,,,20223,RED
RED-598,Office and Industrial,2.0,Lecture,26.0,Seth Hiromura,20223,RED
HMGT-520,Leading People and Health Care Organizations,4.0,Lecture,15.0,Lisa Ozaeta,20223,HMGT
HMGT-520,Leading People and Health Care Organizations,4.0,Lecture,14.0,Lisa Ozaeta,20223,HMGT
HMGT-540,"Health Economics, Financing and Reimbursement",4.0,Lecture,22.0,Patrick Gless,20223,HMGT
HMGT-570,Strategic Management,4.0,Lecture,11.0,Michael Nichol,20223,HMGT
HMGT-570,Strategic Management,4.0,Lecture,13.0,Wayne Sass,20223,HMGT
HMGT-575,Managing and Improving Health,4.0,Lecture,12.0,Glenn Melnick,20223,HMGT
HMGT-575,Managing and Improving Health,4.0,Lecture,9.0,Glenn Melnick,20223,HMGT
HMGT-600,Managing Risk,2.0,Lecture,12.0,Michael Harris,20223,HMGT
HMGT-600,Managing Risk,2.0,Lecture,11.0,Michael Harris,20223,HMGT
HMGT-602,Operational Efficiency Processes in Health Care Organizations,2.0,Lecture,26.0,Joseph Sierra,20223,HMGT
HMGT-602,Operational Efficiency Processes in Health Care Organizations,2.0,Lecture,7.0,Joseph Sierra,20223,HMGT
HMGT-603,Developing &amp; Monitoring of Quality &amp; Patient Safety Outcomes,2.0,Lecture,9.0,Gary Blackard,20223,HMGT
HMGT-603,Developing &amp; Monitoring of Quality &amp; Patient Safety Outcomes,2.0,Lecture,12.0,Gary Blackard,20223,HMGT
PPD-301,PPD Practices: Internship Seminar,2.0,Lecture,44.0,Julia Toothacre,20222,PPD
PPD-503,Economics for Public Policy,4.0,Lecture,53.0,T.J. Mccarthy,20222,PPD
PPD-503,Economics for Public Policy,4.0,Lecture,23.0,Joshua Russell-Fritch,20222,PPD
PPD-503,Economics for Public Policy,4.0,Lecture,24.0,Joshua Russell-Fritch,20222,PPD
PPD-504,Essential Statistics for Public Management,2.0,Lecture,35.0,Emma Aguila Vega,20222,PPD
PPD-504,Essential Statistics for Public Management,2.0,Lecture,4.0,John Calanni,20222,PPD
PPD-511,Health Information Systems,2.0,Lecture,12.0,Wayne Sass,20222,PPD
PPD-511,Health Information Systems,2.0,Lecture,11.0,Michael Palacios,20222,PPD
PPD-511,Health Information Systems,2.0,Lecture,14.0,Michael Palacios,20222,PPD
PPD-517,Concepts and Practices in Managing Health Care Organizations,2.0,Lecture,40.0,Philip Dalton,20222,PPD
PPD-517,Concepts and Practices in Managing Health Care Organizations,2.0,Lecture,42.0,Philip Dalton,20222,PPD
PPD-518,Quality of Care Concepts,2.0,Lecture,29.0,Roger Peeks,20222,PPD
PPD-518,Quality of Care Concepts,2.0,Lecture,19.0,Amy Howell,20222,PPD
PPD-518,Quality of Care Concepts,2.0,Lecture,27.0,Aniruddha Banerjee,20222,PPD
PPD-540,Fundamentals of Public Administration,4.0,Lecture,18.0,Tara Blanc,20222,PPD
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,17.0,Juliet Musso,20222,PPD
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,15.0,Steve Shea,20222,PPD
PPD-546,Capstone in Public Administration,4.0,Lecture,15.0,Peter Robertson,20222,PPD
PPD-546,Capstone in Public Administration,4.0,Lecture,18.0,John Calanni,20222,PPD
PPD-546,Capstone in Public Administration,4.0,Lecture,19.0,Adam James,20222,PPD
PPD-554,Foundations of Policy Analysis,4.0,Lecture,27.0,Lois Takahashi,20222,PPD
PPD-554,Foundations of Policy Analysis,4.0,Lecture,24.0,Coral Andrews,20222,PPD
PPD-555,Public Policy Formulation and Implementation,4.0,Lecture,10.0,Matthew Wheeler,20222,PPD
PPD-589,Port Engineering: Planning and Operational Analysis,4.0,Lecture,12.0,Hanh Le-Griffin,20222,PPD
PPD-590,Directed Research,1.0-12.0 units,Lecture,1.0,Samantha Malisos,20222,PPD
PPD-590,Directed Research,1.0-12.0 units,Lecture,7.0,Samantha Malisos,20222,PPD
PPD-596,Internship for Curricular Practical Training,"1.0-3.0 units, max 3",Lecture,3.0,Valerie Savior,20222,PPD
PPD-642,Strategic Leadership of Organizations,4.0,Lecture,18.0,Carol Geffner,20222,PPD
PPD-658,Advocacy in Public Administration,4.0,Lecture,21.0,Matthew Wheeler,20222,PPD
PPD-673,Strategic Planning in the Public Sector,4.0,Lecture,27.0,Donald Morgan,20222,PPD
PPD-684,Leadership Development in the Public and Nonprofit Sectors,2.0,Lecture,11.0,Frederick Owusu,20222,PPD
PPD-688,Business and Public Policy,4.0,Lecture,11.0,Michael Thom,20222,PPD
PPD-790,Research,"1.0-12.0 units, max 18",Lecture,13.0,Samantha Malisos,20222,PPD
PPDE-506,Professional Residency in Public Administration,1.0,Lecture,19.0,Nicolle Halbur Joseph Briglio,20222,PPDE
PPDE-507,Capstone Residency in Public Administration,1.0,Lecture,24.0,John Calanni Tara Blanc,20222,PPDE
PPDE-507,Capstone Residency in Public Administration,1.0,Lecture,19.0,John Calanni Tara Blanc,20222,PPDE
PPDE-507,Capstone Residency in Public Administration,1.0,Lecture,20.0,Tara Blanc John Calanni,20222,PPDE
PPDE-507,Capstone Residency in Public Administration,1.0,Lecture,16.0,Tara Blanc John Calanni,20222,PPDE
PPDE-628,Introduction to Lean Health Care,2.0,Lecture,30.0,Trent Lim,20222,PPDE
PLUS-664,Urban Political Economy and Urban Development,2.0,Lecture,7.0,Donald Spivack,20222,PLUS
PLUS-665,Economics for a Productive City,3.0,Lecture,7.0,Ralph Mclaughlin,20222,PLUS
PLUS-667,Effective Engagement with Stakeholders,3.0,Lecture,10.0,Katherine Perez,20222,PLUS
PLUS-668,Big Data for Planning and Development,2.0,Lecture,11.0,John Cho,20222,PLUS
RED-437,Advanced Finance and Investment for Real Estate Development,4.0,Lecture,24.0,Brian Miller,20222,RED
RED-541,Finance Fundamentals for Real Estate Development,2.0,Lecture,11.0,Terri Dickerhoff,20222,RED
RED-542,Finance of Real Estate Development,3.0,Lecture,4.0,Christian Redfearn,20222,RED
RED-542,Finance of Real Estate Development,3.0,Lab,4.0,Iain Gulin,20222,RED
RED-547,Project Management and Construction,2.0,Lecture,10.0,Dennis Watsabaugh,20222,RED
RED-547,Project Management and Construction,2.0,Lecture,13.0,Dennis Watsabaugh,20222,RED
RED-551,The Approval Process,4.0,Lecture,23.0,Nicole Kuklok-Waldman Donna Tripp,20222,RED
RED-573,Design History and Criticism,2.0,Lecture,16.0,Nicholas Zaharov,20222,RED
RED-573,Design History and Criticism,2.0,Lecture,9.0,Nicholas Zaharov,20222,RED
RED-590,Directed Research,1.0-12.0 units,Lecture,2.0,Christian Redfearn,20222,RED
HMGT-512,Information Technology and Patient Engagement,2.0,Lecture,26.0,Darryl Brown,20222,HMGT
HMGT-512,Information Technology and Patient Engagement,2.0,Lecture,11.0,Darryl Brown,20222,HMGT
HMGT-520,Leading People and Health Care Organizations,4.0,Lecture,9.0,Lisa Ozaeta,20222,HMGT
HMGT-570,Strategic Management,4.0,Lecture,22.0,Stanley Augustine,20222,HMGT
HMGT-570,Strategic Management,4.0,Lecture,11.0,Gary Blackard,20222,HMGT
HMGT-600,Managing Risk,2.0,Lecture,20.0,Santos Vera Jr.,20222,HMGT
HMGT-601,Operations Management for Accountability,4.0,Lecture,24.0,Victor Pena,20222,HMGT
HMGT-601,Operations Management for Accountability,4.0,Lecture,17.0,Michael Harris,20222,HMGT
HMGT-603,Developing &amp; Monitoring of Quality &amp; Patient Safety Outcomes,2.0,Lecture,22.0,Sean Johnson,20222,HMGT
HMGT-603,Developing &amp; Monitoring of Quality &amp; Patient Safety Outcomes,2.0,Lecture,15.0,Sean Johnson,20222,HMGT
PPD-225,Public Policy and Management,4.0,Lecture,46.0,Lavonna Lewis,20221,PPD
PPD-240g,Citizenship and Public Ethics,4.0,Lecture,30.0,William Resh,20221,PPD
PPD-245g,The Urban Context,4.0,Lecture,91.0,Dowell Myers,20221,PPD
PPD-300,Social Justice Issues in Public Policy and Urban Planning,4.0,Lecture,31.0,Lavonna Lewis,20221,PPD
PPD-301,PPD Practices: Internship Seminar,2.0,Lecture,33.0,Laura Denbow,20221,PPD
PPD-301,PPD Practices: Internship Seminar,2.0,Lecture,34.0,Lauren Opgenorth,20221,PPD
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,25.0,Miesha Williams,20221,PPD
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,30.0,John Romley,20221,PPD
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,25.0,Italo Lopez Garcia,20221,PPD
PPD-314,Public Policy and Law,4.0,Lecture,31.0,Frank Zerunyan,20221,PPD
PPD-320,Organizational Behavior in Public Administration,4.0,Lecture,14.0,Howard Greenwald,20221,PPD
PPD-325,Fundamentals of Health Policy and Management,4.0,Lecture,17.0,Darius Lakdawalla,20221,PPD
PPD-330,Introduction to Health Care Systems,4.0,Lecture,35.0,Glenn Melnick,20221,PPD
PPD-357,Government and Business,4.0,Lecture,30.0,Michael Thom,20221,PPD
PPD-361,"Sustainable Communities, Policy and Planning",4.0,Lecture,14.0,Carter Rubin Bryn Lindblad,20221,PPD
PPD-371,The Nonprofit Sector and the Public Interest,4.0,Lecture,32.0,Cara Esposito,20221,PPD
PPD-373,Public Policy and Planning Analysis,4.0,Lecture,30.0,Grace Bahng,20221,PPD
PPD-382,International Development,4.0,Lecture,18.0,Peter Robertson,20221,PPD
PPD-400,Topics in Public Policy and Urban Studies,4.0,Lecture,25.0,David Sloane,20221,PPD
PPD-407,Financial Management of Public and Nonprofit Organizations,4.0,Lecture,31.0,Baqhar Syed,20221,PPD
PPD-410,Comparative Urban Development,4.0,Lecture,24.0,Rym Kaki,20221,PPD
PPD-412,GeoDesign Practicum,4.0,Lecture-Lab,22.0,Darren Ruddell,20221,PPD
PPD-414,Community Health Policy and Planning,4.0,Lecture,14.0,Mikaela Randolph,20221,PPD
PPD-415,Health Policy,4.0,Lecture,8.0,Rosalie Pacula,20221,PPD
PPD-422,Transportation and Technology and the Future of Mobility,4.0,Lecture,29.0,Selika Talbott,20221,PPD
PPD-427L,Geographic Information Systems and Planning Applications,4.0,Lecture-Lab,27.0,Andre Comandon,20221,PPD
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,27.0,Lauren Ballard,20221,PPD
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,24.0,Beth Zollars,20221,PPD
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,27.0,Rogelio Pardo,20221,PPD
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0,Lecture,25.0,Ryan Kurtzman,20221,PPD
PPD-478,Social Innovation,4.0,Lecture,23.0,Christine Beckman,20221,PPD
PPD-490x,Directed Research,"1.0-8.0 units, max 12",Lecture,1.0,Samantha Malisos,20221,PPD
PPD-497b,Senior Thesis,2.0,Lecture,3.0,Samantha Malisos,20221,PPD
PPD-499,Special Topics,"1.0-8.0 units, max 8",,,,20221,PPD
PPD-499,"Private Investment in the Public Realm: Placemaking, Placefaking or Placekeeping along the E-Line?",2.0,Lecture,29.0,Elizabeth Falletta Takako Tajima,20221,PPD
PPD-501a,"Economics for Policy, Planning and Development",2.0,Lecture,18.0,Ke Ye,20221,PPD
PPD-503,Economics for Public Policy,4.0,Lecture,51.0,Mark Phillips,20221,PPD
PPD-503,Economics for Public Policy,4.0,Lecture,34.0,Joshua Russell-Fritch,20221,PPD
PPD-503,Economics for Public Policy,4.0,Lecture,30.0,Joshua Russell-Fritch,20221,PPD
PPD-504,Essential Statistics for Public Management,2.0,Lecture,26.0,Roxana Javid,20221,PPD
PPD-504,Essential Statistics for Public Management,2.0,Lecture,26.0,Roxana Javid,20221,PPD
PPD-504,Essential Statistics for Public Management,2.0,Lecture,25.0,Gentian Droboniku,20221,PPD
PPD-504,Essential Statistics for Public Management,2.0,Lecture,18.0,John Calanni,20221,PPD
PPD-504,Essential Statistics for Public Management,2.0,Lecture,18.0,John Calanni,20221,PPD
PPD-504,Essential Statistics for Public Management,2.0,Lecture,17.0,John Calanni Steve Shea,20221,PPD
PPD-504,Essential Statistics for Public Management,2.0,Lecture,14.0,John Calanni Steve Shea,20221,PPD
PPD-505,Modeling for Health Policy and Medical Decision Making,3.0,Lecture,16.0,Sze-Chuan Suen,20221,PPD
PPD-510a,Financial Management of Health Services,4.0,Lecture,40.0,Alice Chen,20221,PPD
PPD-510a,Financial Management of Health Services,4.0,Lecture,38.0,Samuel King,20221,PPD
PPD-511,Health Information Systems,2.0,Lecture,17.0,Sean Johnson,20221,PPD
PPD-512,Health Administration Residency Seminar,2.0,Lecture,75.0,Michael Low,20221,PPD
PPD-514,Economic Concepts Applied to Health,4.0,Lecture,20.0,Alice Chen,20221,PPD
PPD-514,Economic Concepts Applied to Health,4.0,Lecture,29.0,Alice Chen,20221,PPD
PPD-514,Economic Concepts Applied to Health,4.0,Lecture,33.0,Jevay Grooms,20221,PPD
PPD-515,Strategic Management of Health Organizations,4.0,Lecture,39.0,Philip Dalton,20221,PPD
PPD-515,Strategic Management of Health Organizations,4.0,Lecture,37.0,Philip Dalton,20221,PPD
PPD-518,Quality of Care Concepts,2.0,Lecture,14.0,Roger Peeks,20221,PPD
PPD-518,Quality of Care Concepts,2.0,Lecture,22.0,Santos Vera,20221,PPD
PPD-518,Quality of Care Concepts,2.0,Lecture,20.0,Michael Harris,20221,PPD
PPD-523,Urban and International Development,4.0,Lecture,39.0,Eric Heikkila,20221,PPD
PPD-523,Urban and International Development,4.0,Lecture,26.0,Eric Heikkila,20221,PPD
PPD-528,Physical Planning: Urban and Community Design,2.0,Lecture,43.0,Elizabeth Falletta,20221,PPD
PPD-528,Physical Planning: Urban and Community Design,2.0,Lecture,36.0,Kamille Parks,20221,PPD
PPD-529,Planning Law and Legal Frameworks of Planning,2.0,Lecture,90.0,Nicole Kuklok-Waldman,20221,PPD
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,21.0,Michael Thom,20221,PPD
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,19.0,Bill Kelly,20221,PPD
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,22.0,Michael Thom,20221,PPD
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,22.0,Linda Sanner,20221,PPD
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,25.0,John Calanni,20221,PPD
PPD-543,Internship Seminar,1.0,Lecture,13.0,Thomas Eng,20221,PPD
PPD-543,Internship Seminar,1.0,Lecture,17.0,Dominic Alletto,20221,PPD
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,28.0,Paul Danczyk,20221,PPD
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,15.0,Kelly Rawlings,20221,PPD
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,18.0,Kelly Rawlings Adrianne Ward,20221,PPD
PPD-546,Capstone in Public Administration,4.0,Lecture,18.0,William Resh,20221,PPD
PPD-546,Capstone in Public Administration,4.0,Lecture,13.0,Peter Robertson,20221,PPD
PPD-546,Capstone in Public Administration,4.0,Lecture,10.0,Lois Takahashi,20221,PPD
PPD-546,Capstone in Public Administration,4.0,Lecture,22.0,Adam James,20221,PPD
PPD-546,Capstone in Public Administration,4.0,Lecture,16.0,Donald Morgan,20221,PPD
PPD-546,Capstone in Public Administration,4.0,Lecture,16.0,Nicole Esparza,20221,PPD
PPD-555,Public Policy Formulation and Implementation,4.0,Lecture,25.0,Pamela Mccann,20221,PPD
PPD-555,Public Policy Formulation and Implementation,4.0,Lecture,17.0,Jeffrey Wasserman,20221,PPD
PPD-555,Public Policy Formulation and Implementation,4.0,Lecture,24.0,Marcie Paolinelli,20221,PPD
PPD-555,Public Policy Formulation and Implementation,4.0,Lecture,24.0,Grace Eng Nadel,20221,PPD
PPD-555,Public Policy Formulation and Implementation,4.0,Lecture,32.0,Pamela Mccann,20221,PPD
PPD-558,Multivariate Statistical Analysis,4.0,Lecture,25.0,Julie Zissimopoulos,20221,PPD
PPD-560,Methods for Policy Analysis,4.0,Lecture,28.0,T.J. Mccarthy,20221,PPD
PPD-560,Methods for Policy Analysis,4.0,Lecture,28.0,Mark Phillips,20221,PPD
PPD-560,Methods for Policy Analysis,4.0,Lecture,29.0,T.J. Mccarthy,20221,PPD
PPD-561b,Policy Analysis Practicum,3.0,Lecture,57.0,Juliet Musso Grace Bahng Gary Painter,20221,PPD
PPD-569,Applied International Policy Analysis and Management Project,4.0,Lecture,14.0,Rym Kaki,20221,PPD
PPD-582,Transportation System Security and Emergency Management,4.0,Lecture,10.0,Shahed Rowshan,20221,PPD
PPD-587,Risk Analysis,4.0,Lecture,16.0,Ali Abbas,20221,PPD
PPD-590,Directed Research,1.0-12.0 units,Lecture,8.0,Samantha Malisos,20221,PPD
PPD-594b,Master's Thesis,2.0,Lecture,1.0,Samantha Malisos,20221,PPD
PPD-596,Internship for Curricular Practical Training,"1.0-3.0 units, max 3",Lecture,3.0,Valerie Savior,20221,PPD
PPD-599,Special Topics,"2.0-8.0 units, max 8",,,,20221,PPD
PPD-599,Data Visualization for Policy Analysis,4.0,Lecture,27.0,Grace Bahng,20221,PPD
PPD-599,Foundations of Environmental Policy,4.0,Lecture,31.0,Antonio Bento,20221,PPD
PPD-599,"Planning for Resilience: Natural Hazards, Climate Risks, and Vulnerability",4.0,Lecture,10.0,Santina Contreras,20221,PPD
PPD-600,Management of Managed Care Organizations,2.0,Lecture,25.0,Denny Hooten,20221,PPD
PPD-604,Seminar in Hospital Administration,4.0,Lecture,9.0,Victor Pena,20221,PPD
PPD-625,Planning and Economic Development Finance,4.0,Lecture,35.0,Ben Feingold,20221,PPD
PPD-627,Design Skills for Urban Planners,4.0,Lecture,22.0,Todd Larner,20221,PPD
PPD-629,Capstone in Urban Planning,4.0,Lecture,21.0,Deepak Bahl,20221,PPD
PPD-629,Capstone in Urban Planning,4.0,Lecture,20.0,Clare Kelley,20221,PPD
PPD-631,"Geographic Information Systems for Policy, Planning, and Development",2.0,Lecture,13.0,Barry Waite Bonnie Shrewsbury,20221,PPD
PPD-641,"Leading Individuals, Groups and Teams",4.0,Lecture,17.0,Carol Geffner,20221,PPD
PPD-651,Seminar in the Administration of Local Government,4.0,Lecture,14.0,Carl Alameda,20221,PPD
PPD-651,Seminar in the Administration of Local Government,4.0,Lecture,19.0,Matthew Wheeler,20221,PPD
PPD-651,Seminar in the Administration of Local Government,4.0,Lecture,19.0,Matthew Wheeler,20221,PPD
PPD-672,Collaborative Governance,4.0,Lecture,21.0,William Leach,20221,PPD
PPD-672,Collaborative Governance,4.0,Lecture,25.0,Frank Zerunyan,20221,PPD
PPD-673,Strategic Planning in the Public Sector,4.0,Lecture,10.0,Rick Culley,20221,PPD
PPD-673,Strategic Planning in the Public Sector,4.0,Lecture,13.0,Tara Blanc,20221,PPD
PPD-673,Strategic Planning in the Public Sector,4.0,Lecture,23.0,Tara Blanc,20221,PPD
PPD-675,Nonprofit Management and Leadership,4.0,Lecture,12.0,Nicole Esparza,20221,PPD
PPD-677,International Development Administration,4.0,Lecture,15.0,Rym Kaki,20221,PPD
PPD-686,U.S. Immigration Policy,4.0,Lecture,11.0,Roberto Suro,20221,PPD
PPD-689,The Nonprofit Sector and Philanthropy,4.0,Lecture,15.0,Kelly Rawlings,20221,PPD
PPD-690,Alternative Dispute Resolution,4.0,Lecture,22.0,Helena Goto,20221,PPD
PPD-697,Cultural Proficiency in Health Management and Policy,2.0,Lecture,23.0,Lavonna Lewis,20221,PPD
PPD-700,Teaching Seminar,2.0,Lecture,13.0,Juliet Musso,20221,PPD
PPD-710b,Research Seminar,2.0,Lecture,13.0,Dowell Myers,20221,PPD
PPD-790,Research,"1.0-12.0 units, max 18",Lecture,13.0,Samantha Malisos,20221,PPD
PPD-790,Research,"1.0-12.0 units, max 18",Lecture,2.0,Samantha Malisos,20221,PPD
PPD-794a,Doctoral Dissertation,2.0,Lecture,1.0,Juliet Musso,20221,PPD
PPD-794b,Doctoral Dissertation,2.0,Lecture,10.0,Juliet Musso,20221,PPD
PPD-794c,Doctoral Dissertation,2.0,Lecture,2.0,Juliet Musso,20221,PPD
PPD-794d,Doctoral Dissertation,2.0,Lecture,9.0,Juliet Musso,20221,PPD
PPDE-505,Professional Workshop in Public Administration,2.0,Lecture,18.0,Laura Wittcoff,20221,PPDE
PPDE-505,Professional Workshop in Public Administration,2.0,Lecture,18.0,Jonathan Speier,20221,PPDE
