Course number,Course title,Units,Type,Section,Session,Time,Days,Seats,Registered,Instructor,term,class_abbr
RED-590,Directed Research,1.0-12.0 units,Lecture,51610D,531.0,TBA,,10.0,2.0,Christian Redfearn,20222,RED
HMGT-512,Information Technology and Patient Engagement,2.0 units,Lecture,51710D,820.0,TBA,,28.0,26.0,Darryl Brown,20222,HMGT
,,,Lecture,51711D,820.0,TBA,,25.0,11.0,Darryl Brown,20222,HMGT
HMGT-520,Leading People and Health Care Organizations,4.0 units,Lecture,51712D,820.0,TBA,,15.0,9.0,Lisa Ozaeta,20222,HMGT
HMGT-570,Strategic Management,4.0 units,Lecture,51714D,820.0,TBA,,25.0,22.0,Stanley Augustine,20222,HMGT
,,,Lecture,51715D,820.0,TBA,,15.0,11.0,Gary Blackard,20222,HMGT
HMGT-600,Managing Risk,2.0 units,Lecture,51716D,820.0,TBA,,27.0,20.0,Santos Vera Jr.,20222,HMGT
HMGT-601,Operations Management for Accountability,4.0 units,Lecture,51718D,820.0,TBA,,30.0,24.0,Victor Pena,20222,HMGT
,,,Lecture,51719D,820.0,TBA,,18.0,17.0,Michael Harris,20222,HMGT
HMGT-603,Developing &amp; Monitoring of Quality &amp; Patient Safety Outcomes,2.0 units,Lecture,51720D,820.0,TBA,,27.0,22.0,Sean Johnson,20222,HMGT
,,,Lecture,51721D,820.0,TBA,,16.0,15.0,Sean Johnson,20222,HMGT
PPD-225,Public Policy and Management,4.0 units,Lecture,51100R,1.0,2:00-3:50pm,"Tue, Thu",55.0,46.0,Lavonna Lewis,20221,PPD
,,,Lecture,51116R,1.0,10:00-11:50am,"Mon, Wed",30.0,0.0,,20221,PPD
PPD-240g,Citizenship and Public Ethics,4.0 units,Lecture,51110D,1.0,12:00-1:50pm,"Tue, Thu",42.0,30.0,William Resh,20221,PPD
PPD-245g,The Urban Context,4.0 units,Lecture,51106D,1.0,10:00-11:50am,"Tue, Thu",56.0,0.0,Lisa Schweitzer,20221,PPD
,,,Lecture,51142D,1.0,4:00-5:50pm,"Mon, Wed",100.0,91.0,Dowell Myers,20221,PPD
PPD-300,Social Justice Issues in Public Policy and Urban Planning,4.0 units,Lecture,51111R,1.0,12:00-1:50pm,"Tue, Thu",32.0,31.0,Lavonna Lewis,20221,PPD
PPD-301,PPD Practices: Internship Seminar,2.0 units,Lecture,51104D,1.0,6:30-8:20pm,Wednesday,30.0,33.0,Laura Denbow,20221,PPD
,,,Lecture,51150D,1.0,6:30-8:20pm,Tuesday,30.0,34.0,Lauren Opgenorth,20221,PPD
PPD-303,"Statistics for Policy, Planning, and Development",4.0 units,Lecture,51105R,1.0,8:00-9:50am,"Tue, Thu",25.0,25.0,Miesha Williams,20221,PPD
,,,Lecture,51107R,1.0,12:00-1:50pm,"Mon, Wed",29.0,30.0,John Romley,20221,PPD
,,,Lecture,51108R,1.0,10:00-11:50am,"Mon, Wed",27.0,25.0,Italo Lopez Garcia,20221,PPD
PPD-314,Public Policy and Law,4.0 units,Lecture,51118R,1.0,6:00-9:20pm,Wednesday,32.0,31.0,Frank Zerunyan,20221,PPD
PPD-320,Organizational Behavior in Public Administration,4.0 units,Lecture,51113R,1.0,2:00-3:50pm,"Mon, Wed",32.0,14.0,Howard Greenwald,20221,PPD
PPD-325,Fundamentals of Health Policy and Management,4.0 units,Lecture,51120R,1.0,10:00-11:50am,"Mon, Wed",32.0,17.0,Darius Lakdawalla,20221,PPD
PPD-330,Introduction to Health Care Systems,4.0 units,Lecture,51102R,1.0,9:00-12:20pm,Friday,35.0,35.0,Glenn Melnick,20221,PPD
PPD-357,Government and Business,4.0 units,Lecture,51127R,1.0,10:00-11:50am,"Tue, Thu",32.0,30.0,Michael Thom,20221,PPD
PPD-361,"Sustainable Communities, Policy and Planning",4.0 units,Lecture,51141R,1.0,9:00-12:20pm,Friday,32.0,14.0,Carter Rubin Bryn Lindblad,20221,PPD
PPD-371,The Nonprofit Sector and the Public Interest,4.0 units,Lecture,51130R,1.0,4:00-5:50pm,"Tue, Thu",32.0,32.0,Cara Esposito,20221,PPD
PPD-373,Public Policy and Planning Analysis,4.0 units,Lecture,51122D,1.0,12:00-1:50pm,"Mon, Wed",33.0,30.0,Grace Bahng,20221,PPD
PPD-382,International Development,4.0 units,Lecture,51117R,1.0,2:00-3:50pm,"Tue, Thu",32.0,18.0,Peter Robertson,20221,PPD
PPD-400,Topics in Public Policy and Urban Studies,4.0 units,Lecture,51149R,1.0,12:00-1:50pm,"Tue, Thu",26.0,25.0,David Sloane,20221,PPD
PPD-407,Financial Management of Public and Nonprofit Organizations,4.0 units,Lecture,51124R,1.0,6:00-9:20pm,Tuesday,32.0,31.0,Baqhar Syed,20221,PPD
PPD-410,Comparative Urban Development,4.0 units,Lecture,51115R,1.0,6:00-9:20pm,Wednesday,25.0,24.0,Rym Kaki,20221,PPD
PPD-412,GeoDesign Practicum,4.0 units,Lecture-Lab,35667R,1.0,2:00-5:50pm,Monday,22.0,22.0,Darren Ruddell,20221,PPD
PPD-414,Community Health Policy and Planning,4.0 units,Lecture,51128R,1.0,6:00-9:20pm,Monday,32.0,14.0,Mikaela Randolph,20221,PPD
PPD-415,Health Policy,4.0 units,Lecture,51125R,1.0,8:00-9:50am,"Tue, Thu",32.0,8.0,Rosalie Pacula,20221,PPD
PPD-422,Transportation and Technology and the Future of Mobility,4.0 units,Lecture,51139R,1.0,6:00-9:20pm,Monday,32.0,29.0,Selika Talbott,20221,PPD
PPD-427L,Geographic Information Systems and Planning Applications,4.0 units,Lecture-Lab,51145R,1.0,2:00-3:50pm,"Mon, Wed",28.0,27.0,Andre Comandon,20221,PPD
PPD-431,"Undergraduate Policy, Planning, and Development Studio",4.0 units,Lecture,51133R,1.0,6:00-9:20pm,Monday,25.0,27.0,Lauren Ballard,20221,PPD
,,,Lecture,51134R,1.0,9:00-12:20pm,Friday,27.0,24.0,Beth Zollars,20221,PPD
,,,Lecture,51135R,1.0,6:00-9:20pm,Tuesday,27.0,27.0,Rogelio Pardo,20221,PPD
,,,Lecture,51143R,1.0,6:00-9:20pm,Wednesday,25.0,25.0,Ryan Kurtzman,20221,PPD
PPD-478,Social Innovation,4.0 units,Lecture,51137R,1.0,10:00-11:50am,"Mon, Wed",32.0,23.0,Christine Beckman,20221,PPD
PPD-490x,Directed Research,"1.0-8.0 units, max 12",Lecture,51132D,1.0,-,,10.0,1.0,Samantha Malisos,20221,PPD
PPD-497b,Senior Thesis,2.0 units,Lecture,51138D,1.0,-,,10.0,3.0,Samantha Malisos,20221,PPD
PPD-499,Special Topics,"1.0-8.0 units, max 8",,,,,,,,,20221,PPD
,"Private Investment in the Public Realm: Placemaking, Placefaking or Placekeeping along the E-Line?",2.0,Lecture,51148R,1.0,12:00-1:50pm,Tuesday,32.0,29.0,Elizabeth Falletta Takako Tajima,20221,PPD
PPD-501a,"Economics for Policy, Planning and Development",2.0 units,Lecture,51351D,785.0,6:00-7:50pm,Thursday,35.0,18.0,Ke Ye,20221,PPD
PPD-503,Economics for Public Policy,4.0 units,Lecture,51220D,1.0,6:00-9:20pm,Wednesday,62.0,51.0,Mark Phillips,20221,PPD
,,,Lecture,51460D,593.0,TBA,,35.0,34.0,Joshua Russell-Fritch,20221,PPD
,,,Lecture,51461D,593.0,TBA,,35.0,30.0,Joshua Russell-Fritch,20221,PPD
,,,Lecture,51478D,593.0,-,,25.0,0.0,Joshua Russell-Fritch,20221,PPD
PPD-504,Essential Statistics for Public Management,2.0 units,Lecture,51232R,1.0,6:00-7:50pm,Tuesday,28.0,26.0,Roxana Javid,20221,PPD
,,,Lecture,51236R,1.0,6:00-7:50pm,Monday,29.0,26.0,Roxana Javid,20221,PPD
,,,Lecture,51403D,530.0,6:00-7:30pm,Tuesday,28.0,25.0,Gentian Droboniku,20221,PPD
,,,Lecture,51462D,593.0,TBA,,25.0,18.0,John Calanni,20221,PPD
,,,Lecture,51463D,593.0,TBA,,25.0,18.0,John Calanni,20221,PPD
,,,Lecture,51464D,593.0,TBA,,26.0,17.0,John Calanni Steve Shea,20221,PPD
,,,Lecture,51465D,593.0,TBA,,25.0,14.0,John Calanni Steve Shea,20221,PPD
PPD-505,Modeling for Health Policy and Medical Decision Making,3.0 units,Lecture,31541D,48.0,12:30-1:50pm,"Mon, Wed",30.0,16.0,Sze-Chuan Suen,20221,PPD
PPD-510a,Financial Management of Health Services,4.0 units,Lecture,51278D,1.0,6:00-9:20pm,Tuesday,40.0,40.0,Alice Chen,20221,PPD
,,,Lecture,51281D,1.0,6:00-9:20pm,Monday,40.0,38.0,Samuel King,20221,PPD
,,,Lecture,51518D,1.0,6:00-9:20pm,Monday,27.0,0.0,,20221,PPD
PPD-510b,Financial Management of Health Services,2.0 units,Lecture,51250R,1.0,6:00-7:50pm,Monday,25.0,0.0,Denny Hooten,20221,PPD
PPD-511,Health Information Systems,2.0 units,Lecture,51778D,820.0,TBA,,22.0,17.0,Sean Johnson,20221,PPD
PPD-512,Health Administration Residency Seminar,2.0 units,Lecture,51277D,1.0,6:00-7:50pm,Wednesday,80.0,75.0,Michael Low,20221,PPD
PPD-514,Economic Concepts Applied to Health,4.0 units,Lecture,51302D,790.0,-,,30.0,0.0,Alice Chen,20221,PPD
,,,Lecture,51305D,790.0,-,,30.0,0.0,Alice Chen,20221,PPD
,,,Lecture,51312D,791.0,TBA,,30.0,20.0,Alice Chen,20221,PPD
,,,Lecture,51313D,791.0,TBA,,31.0,29.0,Alice Chen,20221,PPD
,,,Lecture,51505D,1.0,6:00-9:20pm,Thursday,33.0,33.0,Jevay Grooms,20221,PPD
PPD-515,Strategic Management of Health Organizations,4.0 units,Lecture,51204D,1.0,6:00-9:20pm,Wednesday,41.0,39.0,Philip Dalton,20221,PPD
,,,Lecture,51266D,1.0,6:00-9:20pm,Thursday,40.0,37.0,Philip Dalton,20221,PPD
PPD-518,Quality of Care Concepts,2.0 units,Lecture,51516D,1.0,6:30-8:20pm,Tuesday,30.0,14.0,Roger Peeks,20221,PPD
,,,Lecture,51776D,820.0,TBA,,26.0,22.0,Santos Vera,20221,PPD
,,,Lecture,51777D,820.0,TBA,,26.0,20.0,Michael Harris,20221,PPD
PPD-523,Urban and International Development,4.0 units,Lecture,51212R,1.0,2:00-5:20pm,Thursday,40.0,39.0,Eric Heikkila,20221,PPD
,,,Lecture,51526R,1.0,2:00-5:20pm,Tuesday,40.0,26.0,Eric Heikkila,20221,PPD
PPD-528,Physical Planning: Urban and Community Design,2.0 units,Lecture,51222R,1.0,2:00-3:50pm,Tuesday,45.0,43.0,Elizabeth Falletta,20221,PPD
,,,Lecture,51527R,1.0,6:00-7:50pm,Monday,45.0,36.0,Kamille Parks,20221,PPD
PPD-529,Planning Law and Legal Frameworks of Planning,2.0 units,Lecture,51286R,1.0,6:00-7:50pm,Thursday,90.0,90.0,Nicole Kuklok-Waldman,20221,PPD
PPD-541,Public Financial Management and Budgeting,4.0 units,Lecture,51214R,1.0,6:00-9:20pm,Thursday,22.0,21.0,Michael Thom,20221,PPD
,,,Lecture,51243R,1.0,6:00-9:20pm,Wednesday,22.0,19.0,Bill Kelly,20221,PPD
,,,Lecture,51246R,1.0,2:00-5:20pm,Thursday,22.0,22.0,Michael Thom,20221,PPD
,,,Lecture,51381R,597.0,6:00-9:20pm,Tuesday,22.0,22.0,Linda Sanner,20221,PPD
,,,Lecture,51468D,593.0,TBA,,27.0,25.0,John Calanni,20221,PPD
PPD-543,Internship Seminar,1.0 unit,Lecture,51216R,1.0,6:00-7:50pm,Tuesday,20.0,0.0,Valerie Savior,20221,PPD
,,,Lecture,51223R,1.0,6:00-7:50pm,Wednesday,20.0,13.0,Thomas Eng,20221,PPD
,,,Lecture,51469D,593.0,TBA,,25.0,17.0,Dominic Alletto,20221,PPD
PPD-545,Public and Nonprofit Organizational Behavior,4.0 units,Lecture,51402D,530.0,TBA,,30.0,28.0,Paul Danczyk,20221,PPD
,,,Lecture,51479D,593.0,TBA,,30.0,15.0,Kelly Rawlings,20221,PPD
,,,Lecture,51480D,593.0,TBA,,25.0,18.0,Kelly Rawlings Adrianne Ward,20221,PPD
PPD-546,Capstone in Public Administration,4.0 units,Lecture,51265D,1.0,6:00-9:20pm,Wednesday,15.0,18.0,William Resh,20221,PPD
,,,Lecture,51383D,597.0,6:00-9:20pm,Monday,15.0,13.0,Peter Robertson,20221,PPD
,,,Lecture,51401D,530.0,TBA,,20.0,10.0,Lois Takahashi,20221,PPD
,,,Lecture,51470D,593.0,TBA,,25.0,22.0,Adam James,20221,PPD
,,,Lecture,51503D,1.0,2:00-5:20pm,Monday,15.0,16.0,Donald Morgan,20221,PPD
,,,Lecture,51504D,1.0,6:00-9:20pm,Thursday,15.0,16.0,Nicole Esparza,20221,PPD
PPD-552,Managing and Financing Public Engineering Works,3.0 units,Lecture,29762R,48.0,6:30-8:50pm,Monday,25.0,0.0,,20221,PPD
PPD-555,Public Policy Formulation and Implementation,4.0 units,Lecture,51287D,1.0,2:00-5:20pm,Tuesday,26.0,25.0,Pamela Mccann,20221,PPD
,,,Lecture,51354D,785.0,2:00-5:20pm,Tuesday,20.0,17.0,Jeffrey Wasserman,20221,PPD
,,,Lecture,51400D,530.0,-,,28.0,0.0,Marcie Paolinelli,20221,PPD
,,,Lecture,51471D,593.0,TBA,,30.0,24.0,Marcie Paolinelli,20221,PPD
,,,Lecture,51501D,1.0,6:00-9:20pm,Wednesday,30.0,24.0,Grace Eng Nadel,20221,PPD
,,,Lecture,51525D,1.0,2:00-5:20pm,Wednesday,33.0,32.0,Pamela Mccann,20221,PPD
PPD-558,Multivariate Statistical Analysis,4.0 units,Lecture,51283D,1.0,2:00-5:20pm,Tuesday,36.0,25.0,Julie Zissimopoulos,20221,PPD
PPD-560,Methods for Policy Analysis,4.0 units,Lecture,51224D,1.0,6:00-9:20pm,Thursday,29.0,28.0,T.J. Mccarthy,20221,PPD
,,,Lecture,51267D,1.0,2:00-5:20pm,Tuesday,28.0,28.0,Mark Phillips,20221,PPD
,,,Lecture,51524D,1.0,2:00-5:20pm,Wednesday,29.0,29.0,T.J. Mccarthy,20221,PPD
PPD-561b,Policy Analysis Practicum,3.0 units,Lecture,51225D,1.0,9:00-11:50am,Friday,57.0,57.0,Juliet Musso Grace Bahng Gary Painter,20221,PPD
PPD-569,Applied International Policy Analysis and Management Project,4.0 units,Lecture,51353D,785.0,8:30-11:50am,Monday,14.0,14.0,Rym Kaki,20221,PPD
PPD-572,Special Issues in International Public Policy,"1.0-4.0 units, max 12",Lecture,51358D,785.0,2:00-3:50pm,Thursday,20.0,0.0,Vikram Jadhav,20221,PPD
PPD-582,Transportation System Security and Emergency Management,4.0 units,Lecture,29818R,48.0,6:00-9:20pm,Wednesday,20.0,10.0,Shahed Rowshan,20221,PPD
PPD-587,Risk Analysis,4.0 units,Lecture,51264R,1.0,6:00-9:20pm,Tuesday,32.0,16.0,Ali Abbas,20221,PPD
PPD-590,Directed Research,1.0-12.0 units,Lecture,51227D,1.0,-,,20.0,8.0,Samantha Malisos,20221,PPD
PPD-594b,Master's Thesis,2.0 units,Lecture,51229R,1.0,-,,10.0,1.0,Samantha Malisos,20221,PPD
PPD-596,Internship for Curricular Practical Training,"1.0-3.0 units, max 3",Lecture,51291D,1.0,-,,20.0,3.0,Valerie Savior,20221,PPD
PPD-599,Special Topics,"2.0-8.0 units, max 8",,,,,,,,,20221,PPD
,Data Visualization for Policy Analysis,4.0,Lecture,51520R,1.0,2:00-5:20pm,Monday,32.0,27.0,Grace Bahng,20221,PPD
,Foundations of Environmental Policy,4.0,Lecture,51521D,1.0,2:00-5:20pm,Monday,34.0,31.0,Antonio Bento,20221,PPD
,"Planning for Resilience: Natural Hazards, Climate Risks, and Vulnerability",4.0,Lecture,51522R,1.0,2:00-5:20pm,Tuesday,32.0,10.0,Santina Contreras,20221,PPD
PPD-600,Management of Managed Care Organizations,2.0 units,Lecture,51304R,790.0,TBA,,33.0,25.0,Denny Hooten,20221,PPD
PPD-604,Seminar in Hospital Administration,4.0 units,Lecture,51307R,790.0,TBA,,20.0,9.0,Victor Pena,20221,PPD
PPD-620,General Plans,4.0 units,Lecture,51241R,1.0,6:00-9:20pm,Monday,35.0,0.0,Woodie Tescher,20221,PPD
PPD-625,Planning and Economic Development Finance,4.0 units,Lecture,51237R,1.0,6:00-9:20pm,Wednesday,40.0,35.0,Ben Feingold,20221,PPD
PPD-627,Design Skills for Urban Planners,4.0 units,Lecture,51262R,1.0,6:00-9:20pm,Wednesday,35.0,22.0,Todd Larner,20221,PPD
PPD-629,Capstone in Urban Planning,4.0 units,Lecture,51509D,1.0,2:00-5:20pm,Thursday,22.0,21.0,Deepak Bahl,20221,PPD
,,,Lecture,51510D,1.0,6:00-9:20pm,Thursday,22.0,20.0,Clare Kelley,20221,PPD
PPD-631,"Geographic Information Systems for Policy, Planning, and Development",2.0 units,Lecture,51308R,790.0,TBA,,20.0,13.0,Barry Waite Bonnie Shrewsbury,20221,PPD
PPD-633,Methods and Modeling Tools for Transportation Planning,4.0 units,Lecture,51272D,1.0,6:00-9:20pm,Tuesday,35.0,0.0,,20221,PPD
PPD-641,"Leading Individuals, Groups and Teams",4.0 units,Lecture,51450D,533.0,TBA,,20.0,17.0,Carol Geffner,20221,PPD
PPD-651,Seminar in the Administration of Local Government,4.0 units,Lecture,51231R,1.0,6:00-9:20pm,Monday,32.0,14.0,Carl Alameda,20221,PPD
,,,Lecture,51473D,593.0,TBA,,25.0,19.0,Matthew Wheeler,20221,PPD
,,,Lecture,51474D,593.0,TBA,,25.0,19.0,Matthew Wheeler,20221,PPD
PPD-672,Collaborative Governance,4.0 units,Lecture,51475D,593.0,TBA,,25.0,21.0,William Leach,20221,PPD
,,,Lecture,51500R,1.0,6:00-9:20pm,Thursday,25.0,25.0,Frank Zerunyan,20221,PPD
PPD-673,Strategic Planning in the Public Sector,4.0 units,Lecture,51310R,790.0,TBA,,15.0,10.0,Rick Culley,20221,PPD
,,,Lecture,51382R,597.0,6:00-9:20pm,Tuesday,20.0,13.0,Tara Blanc,20221,PPD
,,,Lecture,51476D,593.0,TBA,,25.0,23.0,Tara Blanc,20221,PPD
PPD-675,Nonprofit Management and Leadership,4.0 units,Lecture,51271R,1.0,6:00-9:20pm,Monday,26.0,12.0,Nicole Esparza,20221,PPD
PPD-677,International Development Administration,4.0 units,Lecture,51244R,1.0,6:00-9:20pm,Monday,32.0,15.0,Rym Kaki,20221,PPD
PPD-686,U.S. Immigration Policy,4.0 units,Lecture,51274R,1.0,2:00-5:20pm,Thursday,32.0,11.0,Roberto Suro,20221,PPD
PPD-689,The Nonprofit Sector and Philanthropy,4.0 units,Lecture,51477D,593.0,TBA,,25.0,15.0,Kelly Rawlings,20221,PPD
PPD-690,Alternative Dispute Resolution,4.0 units,Lecture,51301R,790.0,TBA,,24.0,22.0,Helena Goto,20221,PPD
PPD-697,Cultural Proficiency in Health Management and Policy,2.0 units,Lecture,51282R,1.0,6:00-7:50pm,Tuesday,27.0,23.0,Lavonna Lewis,20221,PPD
PPD-700,Teaching Seminar,2.0 units,Lecture,51292D,1.0,12:00-1:50pm,Friday,13.0,13.0,Juliet Musso,20221,PPD
PPD-710b,Research Seminar,2.0 units,Lecture,51284D,1.0,2:00-3:50pm,Wednesday,13.0,13.0,Dowell Myers,20221,PPD
PPD-790,Research,"1.0-12.0 units, max 18",Lecture,51252D,1.0,TBA,,25.0,13.0,Samantha Malisos,20221,PPD
,,,Lecture,51253D,1.0,TBA,,10.0,2.0,Samantha Malisos,20221,PPD
PPD-794a,Doctoral Dissertation,2.0 units,Lecture,51254D,1.0,TBA,,10.0,1.0,Juliet Musso,20221,PPD
PPD-794b,Doctoral Dissertation,2.0 units,Lecture,51255D,1.0,TBA,,12.0,10.0,Juliet Musso,20221,PPD
PPD-794c,Doctoral Dissertation,2.0 units,Lecture,51256D,1.0,TBA,,10.0,2.0,Juliet Musso,20221,PPD
PPD-794d,Doctoral Dissertation,2.0 units,Lecture,51257D,1.0,TBA,,11.0,9.0,Juliet Musso,20221,PPD
PPD-794z,Doctoral Dissertation,0.0 units,Lecture,51258D,1.0,TBA,,15.0,14.0,Juliet Musso,20221,PPD
PPDE-505,Professional Workshop in Public Administration,2.0 units,Lecture,50907D,1.0,6:00-7:50pm,Thursday,20.0,18.0,Laura Wittcoff,20221,PPDE
,,,Lecture,50908D,1.0,6:00-7:50pm,Wednesday,20.0,18.0,Jonathan Speier,20221,PPDE
,,,Lecture,50991D,530.0,TBA,,32.0,32.0,Tara Blanc,20221,PPDE
,,,Lecture,51054D,790.0,TBA,,25.0,18.0,Eric Alegria,20221,PPDE
PPDE-580,Social Innovation,4.0 units,Lecture,50900R,1.0,6:00-9:20pm,Monday,26.0,14.0,Gary Painter,20221,PPDE
PPDE-610,Population Health Management,2.0 units,Lecture,50929R,1.0,6:00-7:50pm,Wednesday,25.0,0.0,Ellen Rudy,20221,PPDE
,,,Lecture,51055R,790.0,TBA,,25.0,10.0,Ellen Rudy,20221,PPDE
PPDE-611,Digital Health,2.0 units,Lecture,51056R,790.0,-,,20.0,0.0,Pernell Jones,20221,PPDE
PPDE-613,Analytics and Operations for Healthcare Management,2.0 units,Lecture,51057R,790.0,TBA,,43.0,41.0,Dan Mirakhor Antoinne Harris,20221,PPDE
,,,Lecture,51058R,790.0,TBA,,45.0,43.0,Salem Hawatmeh Antoinne Harris,20221,PPDE
PPDE-628,Introduction to Lean Health Care,2.0 units,Lecture,51052R,790.0,TBA,,20.0,12.0,Trent Lim,20221,PPDE
PPDE-634,"Methodology, Methods and Tools for Urban Sustainability",2.0-4.0 units,Lecture,50901R,1.0,6:00-9:20pm,Monday,40.0,28.0,Elizabeth Crosson Lauren Faber,20221,PPDE
PPDE-635,Housing and Land Use in Rapidly Urbanizing Regions,4.0 units,Lecture,50903R,1.0,6:00-9:20pm,Wednesday,30.0,14.0,Annette Kim,20221,PPDE
PPDE-637,Urban Mass Transit,4.0 units,Lecture,50926R,1.0,2:00-5:20pm,Wednesday,32.0,25.0,Lisa Schweitzer,20221,PPDE
PPDE-638,"Race, Arts, and Placemaking",4.0 units,Lecture,50928R,1.0,2:00-5:20pm,Wednesday,35.0,6.0,Annette Kim,20221,PPDE
PPDE-641,Art and the City,4.0 units,Lecture,50916R,1.0,6:00-9:20pm,Monday,30.0,17.0,Katherine Bray-Simons,20221,PPDE
PPDE-644,Land Use and Transportation Planning,4.0 units,Lecture,50904R,1.0,2:00-5:20pm,Monday,30.0,30.0,Marlon Boarnet,20221,PPDE
PPDE-647,Civic Engagement in Governance,4.0 units,Lecture,50990R,530.0,6:00-9:20pm,Thursday,28.0,24.0,Mindy Romero,20221,PPDE
PPDE-648,Performance Management,4.0 units,Lecture,50917R,1.0,6:00-9:20pm,Wednesday,32.0,6.0,John Drake,20221,PPDE
PPDE-668,Applied Econometrics for Program Evaluation,4.0 units,Lecture,50910D,1.0,2:00-5:20pm,Thursday,32.0,26.0,T.J. Mccarthy,20221,PPDE
PPDE-671,Economic Analysis of Education Policy,4.0 units,Lecture,50919R,1.0,6:00-9:20pm,Tuesday,24.0,16.0,Andrew Mc Eachin,20221,PPDE
PPDE-672,An Exploration of the Intelligence Community - from Policy to Cyber Espionage,4.0 units,Lecture,50923R,1.0,6:00-9:20pm,Wednesday,31.0,15.0,Michael Orosz,20221,PPDE
PPDE-680,Board Governance and Leadership,2.0 units,Lecture,50912R,1.0,6:00-7:50pm,Wednesday,26.0,19.0,Claire Peeps,20221,PPDE
PPDE-681,Fund Development for Nonprofit Organizations,4.0 units,Lecture,50913R,1.0,6:00-9:20pm,Tuesday,26.0,22.0,Carole King,20221,PPDE
PLUS-652,"Place, Institutions, and Governance",4.0 units,Lecture,51558D,1.0,TBA,,18.0,16.0,William Leach,20221,PLUS
PLUS-660,Economics of a Productive Development - A Public/Private Perspective,3.0 units,Lecture,51530D,919.0,-,,25.0,0.0,,20221,PLUS
,,,Lecture,51531D,919.0,5:30-6:45pm,Wednesday,25.0,7.0,Roger Moliere Elizabeth Falletta,20221,PLUS
PLUS-661,Politics and Process of Urban Development,2.0 units,Lecture,51532D,919.0,5:30-6:30pm,Wednesday,25.0,0.0,,20221,PLUS
,,,Lecture,51533D,919.0,5:30-6:30pm,Monday,25.0,7.0,Marcia Jensen,20221,PLUS
PLUS-662,Planning and Development Case Study,1.0 unit,Lecture,51580D,545.0,TBA,,25.0,8.0,Sherry Okun-Rudnak,20221,PLUS
PLUS-663,Designing Livable Environments I,1.0 unit,Lecture,51581D,545.0,TBA,,25.0,8.0,Kamille Parks,20221,PLUS
PLUS-664,Urban Political Economy and Urban Development,2.0 units,Lecture,51534D,919.0,5:30-6:30pm,Thursday,25.0,10.0,Donald Spivack,20221,PLUS
PLUS-665,Economics for a Productive City,3.0 units,Lecture,51536D,919.0,5:30-6:45pm,Monday,25.0,10.0,Eric Heikkila,20221,PLUS
PLUS-667,Effective Engagement with Stakeholders,3.0 units,Lecture,51537D,919.0,5:30-6:45pm,Wednesday,25.0,8.0,Jackie Illum,20221,PLUS
PLUS-668,Big Data for Planning and Development,2.0 units,Lecture,51538D,919.0,5:30-6:30pm,Tuesday,25.0,10.0,John Cho,20221,PLUS
PLUS-669,Designing Livable Environments II,1.0 unit,Lecture,51582D,545.0,TBA,,25.0,19.0,Catherine Saez,20221,PLUS
PLUS-670,Communicating Data for Planning and Development,1.0 unit,Lecture,51583D,545.0,TBA,,25.0,19.0,Andrzej Rutkowski,20221,PLUS
PLUS-694a,"Planning, Design and Development Professional Dissertation",2.0 units,Lecture,51550D,1.0,TBA,,18.0,0.0,Juliet Musso,20221,PLUS
PLUS-694b,"Planning, Design and Development Professional Dissertation",2.0 units,Lecture,51551D,1.0,TBA,,18.0,8.0,Peter Robertson,20221,PLUS
PLUS-694c,"Planning, Design and Development Professional Dissertation",2.0 units,Lecture,51552D,1.0,TBA,,18.0,0.0,Juliet Musso,20221,PLUS
PLUS-694d,"Planning, Design and Development Professional Dissertation",2.0 units,Lecture,51553D,1.0,TBA,,18.0,6.0,Juliet Musso,20221,PLUS
PLUS-694z,"Planning, Design and Development Professional Dissertation",0.0 units,Lecture,51554D,1.0,TBA,,18.0,0.0,Juliet Musso,20221,PLUS
RED-200,Introduction to Real Estate,4.0 units,Lecture,51671R,1.0,10:00-11:50am,"Mon, Wed",100.0,77.0,John Loper,20221,RED
,,,Lecture,51674R,1.0,6:00-9:20pm,Monday,80.0,77.0,Mark Zikakis,20221,RED
RED-201,Real Estate Career Seminar,2.0 units,Lecture,51672D,1.0,6:00-7:50pm,Wednesday,35.0,32.0,Garland Fuller,20221,RED
,,,Lecture,51673D,1.0,10:00-11:50am,Friday,25.0,0.0,,20221,RED
RED-325,Introduction to Finance in Cities,4.0 units,Lecture,51670R,1.0,2:00-3:50pm,"Mon, Wed",50.0,43.0,John Loper,20221,RED
RED-351,Land Use Regulation,4.0 units,Lecture,51666R,1.0,6:00-9:20pm,Wednesday,30.0,28.0,Silvia Saucedo,20221,RED
RED-362,Real Estate Development Fundamentals,4.0 units,Lecture,51650R,1.0,8:00-9:50am,"Tue, Thu",55.0,51.0,Mary Lynne Boorn,20221,RED
,,,Lecture,51651R,1.0,12:00-1:50pm,"Tue, Thu",55.0,48.0,Jorge De la Roca,20221,RED
RED-375,Real Estate Development Analysis,4.0 units,Lecture,51652R,1.0,8:30-11:50am,Friday,25.0,25.0,John Loper,20221,RED
,,,Lecture,51663R,1.0,10:00-11:50am,"Mon, Wed",28.0,27.0,Moussa Diop,20221,RED
RED-398,Shaping Cities Through Real Estate,"2.0-4.0 units, max 8",,,,,,,,,20221,RED
,Retail Properties,4.0,Lecture,51661R,1.0,6:00-9:20pm,Thursday,30.0,30.0,Bret Nielsen,20221,RED
